lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
166.7,166.8,-46.1,-46.0,0.0,40.0,5.0,10.5,1.8449967269758063e-04,0.000000,1
166.7,166.8,-46.0,-45.9,0.0,40.0,5.0,10.5,2.1429961983247440e-04,0.000000,1
166.7,166.8,-45.9,-45.8,0.0,40.0,5.0,10.5,2.8319949760409122e-04,0.000000,1
166.7,166.8,-45.8,-45.7,0.0,40.0,5.0,10.5,3.8279932091400464e-04,0.000000,1
166.7,166.8,-45.7,-45.6,0.0,40.0,5.0,10.5,4.6429917633326114e-04,0.000000,1
166.7,166.8,-45.6,-45.5,0.0,40.0,5.0,10.5,4.5319919602462621e-04,0.000000,1
166.7,166.8,-45.5,-45.4,0.0,40.0,5.0,10.5,5.4279903707450813e-04,0.000000,1
166.7,166.8,-45.4,-45.3,0.0,40.0,5.0,10.5,7.9769858488271041e-04,0.000000,1
166.7,166.8,-45.3,-45.2,0.0,40.0,5.0,10.5,1.1619979386156569e-03,0.000000,1
166.7,166.8,-45.2,-45.1,0.0,40.0,5.0,10.5,1.1919978853957511e-03,0.000000,1
166.7,166.8,-45.1,-45.0,0.0,40.0,5.0,10.5,8.0519857157773395e-04,0.000000,1
166.7,166.8,-45.0,-44.9,0.0,40.0,5.0,10.5,5.7459898066140815e-04,0.000000,1
166.7,166.8,-44.9,-44.8,0.0,40.0,5.0,10.5,4.5829918697724224e-04,0.000000,1
166.7,166.8,-44.8,-44.7,0.0,40.0,5.0,10.5,3.8879931027002360e-04,0.000000,1
166.7,166.8,-44.7,-44.6,0.0,40.0,5.0,10.5,3.3519940535625491e-04,0.000000,1
166.8,166.9,-47.4,-47.3,0.0,40.0,5.0,10.5,4.1379926592010224e-05,0.000000,1
166.8,166.9,-47.3,-47.2,0.0,40.0,5.0,10.5,4.3479922866616827e-05,0.000000,1
166.8,166.9,-47.2,-47.1,0.0,40.0,5.0,10.5,4.5509919265403220e-05,0.000000,1
166.8,166.9,-47.1,-47.0,0.0,40.0,5.0,10.5,4.8159914564311562e-05,0.000000,1
166.8,166.9,-47.0,-46.9,0.0,40.0,5.0,10.5,5.1729908231142799e-05,0.000000,1
166.8,166.9,-46.9,-46.8,0.0,40.0,5.0,10.5,5.6739899343418557e-05,0.000000,1
166.8,166.9,-46.8,-46.7,0.0,40.0,5.0,10.5,6.3919886606121157e-05,0.000000,1
166.8,166.9,-46.7,-46.6,0.0,40.0,5.0,10.5,8.7719844384996051e-05,0.000000,1
166.8,166.9,-46.6,-46.5,0.0,40.0,5.0,10.5,1.0169981958452005e-04,0.000000,1
166.8,166.9,-46.5,-46.4,0.0,40.0,5.0,10.5,1.1189980148975214e-04,0.000000,1
166.8,166.9,-46.4,-46.3,0.0,40.0,5.0,10.5,1.1809979049097165e-04,0.000000,1
166.8,166.9,-46.3,-46.2,0.0,40.0,5.0,10.5,1.3369976281662075e-04,0.000000,1
166.8,166.9,-46.2,-46.1,0.0,40.0,5.0,10.5,1.5949971704750193e-04,0.000000,1
166.8,166.9,-46.1,-46.0,0.0,40.0,5.0,10.5,1.6349970995151452e-04,0.000000,1
166.8,166.9,-46.0,-45.9,0.0,40.0,5.0,10.5,1.8569967056878439e-04,0.000000,1
166.8,166.9,-45.9,-45.8,0.0,40.0,5.0,10.5,2.3019959162592444e-04,0.000000,1
166.8,166.9,-45.8,-45.7,0.0,40.0,5.0,10.5,2.8869948784710858e-04,0.000000,1
166.8,166.9,-45.7,-45.6,0.0,40.0,5.0,10.5,3.4639938548749013e-04,0.000000,1
166.8,166.9,-45.6,-45.5,0.0,40.0,5.0,10.5,3.9509929909384338e-04,0.000000,1
166.8,166.9,-45.5,-45.4,0.0,40.0,5.0,10.5,5.0419910555078663e-04,0.000000,1
166.8,166.9,-45.4,-45.3,0.0,40.0,5.0,10.5,7.3779869114512194e-04,0.000000,1
166.8,166.9,-45.3,-45.2,0.0,40.0,5.0,10.5,1.0749980929533830e-03,0.000000,1
166.8,166.9,-45.2,-45.1,0.0,40.0,5.0,10.5,1.2499977825039339e-03,0.000000,1
166.8,166.9,-45.1,-45.0,0.0,40.0,5.0,10.5,9.2839835302132169e-04,0.000000,1
166.8,166.9,-45.0,-44.9,0.0,40.0,5.0,10.5,6.4169886162621938e-04,0.000000,1
166.8,166.9,-44.9,-44.8,0.0,40.0,5.0,10.5,4.8819913393473633e-04,0.000000,1
166.8,166.9,-44.8,-44.7,0.0,40.0,5.0,10.5,4.0749927709628236e-04,0.000000,1
166.8,166.9,-44.7,-44.6,0.0,40.0,5.0,10.5,3.4819938229429582e-04,0.000000,1
166.8,166.9,-44.6,-44.5,0.0,40.0,5.0,10.5,3.0339946176935478e-04,0.000000,1
166.9,167.0,-47.6,-47.5,0.0,40.0,5.0,10.5,3.1529944065879226e-05,0.000000,1
166.9,167.0,-47.5,-47.4,0.0,40.0,5.0,10.5,3.3689940234046018e-05,0.000000,1
166.9,167.0,-47.4,-47.3,0.0,40.0,5.0,10.5,3.5799936490912664e-05,0.000000,1
166.9,167.0,-47.3,-47.2,0.0,40.0,5.0,10.5,3.7859932836479148e-05,0.000000,1
166.9,167.0,-47.2,-47.1,0.0,40.0,5.0,10.5,3.9999929040125878e-05,0.000000,1
166.9,167.0,-47.1,-47.0,0.0,40.0,5.0,10.5,4.2619924392254128e-05,0.000000,1
166.9,167.0,-47.0,-46.9,0.0,40.0,5.0,10.5,4.5999918396144762e-05,0.000000,1
166.9,167.0,-46.9,-46.8,0.0,40.0,5.0,10.5,5.0549910324459083e-05,0.000000,1
166.9,167.0,-46.8,-46.7,0.0,40.0,5.0,10.5,5.6479899804657744e-05,0.000000,1
166.9,167.0,-46.7,-46.6,0.0,40.0,5.0,10.5,7.7019863366762376e-05,0.000000,1
166.9,167.0,-46.6,-46.5,0.0,40.0,5.0,10.5,8.8049843799577082e-05,0.000000,1
166.9,167.0,-46.5,-46.4,0.0,40.0,5.0,10.5,9.6969827975525164e-05,0.000000,1
166.9,167.0,-46.4,-46.3,0.0,40.0,5.0,10.5,1.0469981426252948e-04,0.000000,1
166.9,167.0,-46.3,-46.2,0.0,40.0,5.0,10.5,1.1689979261976788e-04,0.000000,1
166.9,167.0,-46.2,-46.1,0.0,40.0,5.0,10.5,1.3009976920300942e-04,0.000000,1
166.9,167.0,-46.1,-46.0,0.0,40.0,5.0,10.5,1.4159974880204561e-04,0.000000,1
166.9,167.0,-46.0,-45.9,0.0,40.0,5.0,10.5,1.6279971119331231e-04,0.000000,1
166.9,167.0,-45.9,-45.8,0.0,40.0,5.0,10.5,1.9749964963562152e-04,0.000000,1
166.9,167.0,-45.8,-45.7,0.0,40.0,5.0,10.5,2.4229957016056250e-04,0.000000,1
166.9,167.0,-45.7,-45.6,0.0,40.0,5.0,10.5,2.8889948749230912e-04,0.000000,1
166.9,167.0,-45.6,-45.5,0.0,40.0,5.0,10.5,3.4039939613147118e-04,0.000000,1
166.9,167.0,-45.5,-45.4,0.0,40.0,5.0,10.5,4.2239925066372931e-04,0.000000,1
166.9,167.0,-45.4,-45.3,0.0,40.0,5.0,10.5,5.9399894624586930e-04,0.000000,1
166.9,167.0,-45.3,-45.2,0.0,40.0,5.0,10.5,8.2279854035538936e-04,0.000000,1
166.9,167.0,-45.2,-45.1,0.0,40.0,5.0,10.5,1.0309981710092447e-03,0.000000,1
166.9,167.0,-45.1,-45.0,0.0,40.0,5.0,10.5,9.4969831523518877e-04,0.000000,1
166.9,167.0,-45.0,-44.9,0.0,40.0,5.0,10.5,7.0109875625080627e-04,0.000000,1
166.9,167.0,-44.9,-44.8,0.0,40.0,5.0,10.5,5.2739906439405976e-04,0.000000,1
166.9,167.0,-44.8,-44.7,0.0,40.0,5.0,10.5,4.3679922511817462e-04,0.000000,1
166.9,167.0,-44.7,-44.6,0.0,40.0,5.0,10.5,3.7159934078276937e-04,0.000000,1
